word,weight
keep,0.5933020344113481
kept,-0.052386689617090414
key,0.2823804283598133
kid,-0.14752355533327335
kill,0.0397391795246696
killed,-0.39165025800240366
killing,-0.28665375932649395
kimetsu,-0.14514980710052053
kimi,0.3100464541942955
kind,0.36566224918318163
kinda,-0.4722795919622027
kirito,-1.3096794432151173
knew,0.12959539220615618
know,-0.2234150206566226
known,0.1947109864131487
kousei,0.0676718677814123
kyojin,0.28671303556933475
la,0.7879153586731222
lack,-0.6177842100957313
lacking,-0.10387300701817356
large,-0.5062826758226779
last,-0.22643617778425393
later,-0.19036135830785547
laugh,0.40152850307815774
lead,-0.5068477901629698
leaf,0.12831023535631497
learn,0.511195364654551
least,-0.9318541209877632
leave,0.21145124345372493
left,-0.1792133851789812
lelouch,-0.050269232730782626
length,0.013475188911695092
less,0.027182141167671293
let,-0.5760168451702404
level,-0.31458338823599136
levi,0.1795295662022435
lie,0.2894052715751505
life,0.8525438816429078
light,0.5550978524841352
like,-0.450269589404631
liked,-0.023829257529679196
likely,0.1709288834130607
line,-0.21883688046151864
list,0.14579339854515608
listen,0.532134987101525
literally,-1.0136562466492125
little,0.059733479975097266
live,-0.0352779504321441
living,-0.06864016704579665
long,0.060391846409700994
longer,0.06843647867023436
look,0.017259433422841117
looked,-0.6129414556478743
looking,-0.16030342506104686
lose,-0.10254527271300302
lost,-0.3495993282844995
lot,0.6978111371134869
love,1.4820190172928769
loved,0.9032167238737892
machine,0.23821227869914105
made,0.2738711873614008
madhouse,0.05595822433921473
main,0.16387234907641057
mainly,0.5943001716835248
major,0.21041405095146673
majority,-0.23694538760629436
make,0.42273043127337645
making,0.23198117800274984
makoto,0.27869446122100466
mal,-0.3253183114180287
male,-0.33353393699774586
man,0.4814023547517955
managed,-0.051371667945295345
manages,0.47665594243870607
manga,0.13240282444709708
many,0.5387781500416474
massive,-0.06715463147625347
masterpiece,0.7446144483771765
material,-0.19097770685955653
matter,-0.31811105769835224
mature,-0.2387964490774372
may,0.9379360941964353
maybe,-0.2079538272876265
mc,0.08464263598396152
mean,-0.4527261665510545
meaning,0.06339101583566975
mecha,0.22323815874545302
mediocre,-1.2785299758518704
medium,0.03536970061615011
meet,-0.01862603196889831
memorable,-0.05881388873751278
memory,0.45566444880349843
mention,-0.33168402116597795
message,0.03901699373242797
mha,-0.07080255897790512
middle,-0.31938046549907584
midoriya,0.08877307243731816
might,0.5444651392813598
mikasa,-0.1629288308689467
mind,-0.24755628043530575
minor,0.2714688039515677
minute,-1.2210877525116228
mistake,-0.26578261806215936
modern,0.27811475686141884
moment,0.731295647985163
monster,-0.2335459935216498
month,0.14161922542803873
mood,0.28540345711186915
moral,-0.36662238160391775
mostly,-0.01764935472916658
mother,-0.4525898792556958
motivation,-0.13023652497342506
move,-0.792566625581986
